BookID,Brightness,Colorfulness,Entropy,UniqueColors,Keypoints,Color1R,Color1G,Color1B,Color2R,Color2G,Color2B
151482034X,0.71708,86.75110549943501,5.975477,48673,0.02872072072072072,107,207,245,251,250,249
0792259335,0.25878868,42.36380132302538,6.5719843,31712,0.010526558891454965,71,25,2,133,76,36
141971189X,0.6011718,126.30863876780835,7.243461,50566,0.0256891495601173,243,137,35,243,238,231
006057383X,0.6382228,96.59397880829997,7.527004,114207,0.030112,242,136,83,214,216,223
1590179366,0.65126634,113.06383381017997,7.2810946,81638,0.035117977528089886,245,234,90,246,244,185
0778783049,0.40495887,67.48830212508136,7.576008,86577,0.045192893401015226,121,94,59,39,27,13
1434227987,0.64121544,76.59240085042336,7.1332645,80338,0.028761904761904763,213,232,241,163,70,44
1465417338,0.7356784,125.42905430449258,5.5589323,57267,0.011020725388601037,253,250,245,233,101,8
1423171608,0.5850411,83.92825380503547,7.3581853,114918,0.014471774193548387,59,173,91,95,188,223
0761461671,0.5062892,63.62797476826199,6.8684835,76673,0.0259,56,111,168,247,243,230
0803736800,0.8093236,66.4299442040955,6.818787,75286,0.049188,245,241,237,215,149,110
1600601316,0.41396597,47.711508334381506,7.72781,77504,0.014668316831683167,25,14,9,209,230,244
0892391316,0.34510726,67.23515130808607,7.43084,91929,0.03837946428571429,106,160,238,27,56,44
0545279712,0.60444,38.06117989014354,7.4107065,71248,0.03907602339181287,136,176,157,65,104,117
0448405202,0.5007142,73.97441592058661,6.9362984,122097,0.02218763326226013,176,136,52,194,146,88
1905516657,0.71809024,50.800495661116955,5.9645166,87891,0.017144,253,252,248,198,162,122
0778742601,0.5014941,90.7295534930073,7.5195494,101926,0.025041450777202073,129,88,66,194,152,116
0152002227,0.7250643,51.50496913063178,7.1329722,58848,0.020202970297029704,251,216,185,193,148,125
1596437170,0.28431857,84.76639201230927,6.670208,70088,0.010614987080103359,2,7,21,16,122,153
0545795559,0.4587699,46.542956778089604,7.1106515,68837,0.037895043731778426,67,40,56,98,46,76
1743219164,0.56749815,124.34867626548647,7.1091905,103547,0.026197402597402598,11,159,213,219,175,57
0823962989,0.36040148,66.2086017115808,7.130924,104139,0.00944144144144144,64,77,138,25,32,54
0805029605,0.7032326,47.57797997111043,7.2183456,94779,0.019645875251509053,204,222,232,246,216,166
0395981395,0.2672215,32.662542025229584,6.7159615,60637,0.03547882736156352,58,32,55,116,84,65
1426302916,0.3076398,38.103808189338714,7.562735,68259,0.026701421800947867,44,15,8,121,82,63
1419099108,0.40869603,100.27706887089386,7.59178,119524,0.04389333333333333,40,31,139,33,27,62
0749658797,0.6147526,55.71460036996728,7.7103906,101431,0.021213197969543147,249,207,234,99,151,205
0688161677,0.4737159,61.15216816939459,6.826779,106645,0.02348654244306418,113,116,88,135,150,84
0545757142,0.64442325,88.5056097800036,7.770396,106470,0.04531927710843373,208,231,241,189,172,97
1576582329,0.56485075,47.53547066538418,7.7966137,106581,0.0431578947368421,240,222,196,139,177,158
0698116097,0.46553493,68.03183049118248,7.57526,63585,0.013012738853503184,113,84,65,208,156,73
1932012486,0.17326862,24.706778899927286,5.559311,25145,0.024430939226519337,2,1,1,17,23,25
1405925132,0.71464074,30.061615867572815,6.8768616,63039,0.06845748987854251,249,247,244,243,240,243
1933067330,0.6749869,86.15859995253916,4.6833887,54620,0.010253588516746412,181,196,81,240,241,212
1935703005,0.6292054,162.41619478523063,5.4397945,54127,0.017916461916461915,253,240,0,251,238,17
0553509012,0.33020562,69.1592633248171,7.430115,136093,0.021508,124,84,63,32,36,52
1426300867,0.44106245,41.21364198710756,7.3891172,75175,0.03,121,173,106,65,107,132
0375806156,0.6070513,57.82024784900705,7.385138,66213,0.02918170878459687,188,213,245,128,96,49
