iter	Passed	Remaining
690	8868	3965
691	8878	3951
692	8888	3937
693	8899	3924
694	8909	3909
695	8916	3894
696	8969	3899
697	8987	3888
698	9006	3878
699	9018	3865
700	9028	3850
701	9037	3836
702	9048	3822
703	9058	3808
704	9069	3794
705	9079	3781
706	9090	3767
707	9100	3753
708	9109	3739
709	9119	3724
710	9129	3710
711	9139	3696
712	9150	3683
713	9161	3669
714	9170	3655
715	9180	3641
716	9190	3627
717	9200	3613
718	9209	3599
719	9219	3585
720	9228	3571
721	9238	3557
722	9247	3543
723	9257	3529
724	9267	3515
725	9278	3501
726	9287	3487
727	9297	3473
728	9306	3459
729	9316	3445
730	9326	3432
731	9336	3418
732	9347	3404
733	9356	3390
734	9372	3379
735	9391	3368
736	9410	3358
737	9429	3347
738	9448	3336
739	9467	3326
740	9490	3317
741	9510	3307
742	9521	3293
743	9534	3280
744	9545	3267
745	9555	3253
746	9565	3239
747	9576	3226
748	9586	3212
749	9597	3199
750	9607	3185
751	9618	3171
752	9628	3158
753	9638	3144
754	9648	3131
755	9658	3117
756	9668	3103
757	9679	3090
758	9688	3076
759	9698	3062
760	9709	3049
761	9719	3035
762	9728	3021
763	9738	3008
764	9748	2994
765	9757	2980
766	9769	2967
767	9778	2954
768	9790	2940
769	9799	2927
770	9809	2913
771	9819	2900
772	9829	2886
773	9838	2872
774	9848	2859
775	9857	2845
776	9868	2832
777	9879	2819
778	9889	2805
779	9899	2792
780	9909	2778
781	9919	2765
782	9978	2765
783	9991	2752
784	10000	2739
785	10010	2725
786	10020	2712
787	10030	2698
788	10039	2684
789	10049	2671
790	10059	2658
791	10070	2644
792	10079	2631
793	10091	2618
794	10101	2604
795	10111	2591
796	10122	2578
797	10132	2564
798	10142	2551
799	10152	2538
800	10161	2524
801	10171	2511
802	10181	2497
803	10192	2484
804	10201	2471
805	10211	2457
806	10221	2444
807	10233	2431
808	10243	2418
809	10252	2405
810	10262	2391
811	10273	2378
812	10283	2365
813	10293	2352
814	10303	2338
815	10313	2325
816	10323	2312
817	10332	2299
818	10342	2285
819	10352	2272
820	10362	2259
821	10378	2247
822	10401	2237
823	10420	2225
824	10440	2214
825	10457	2202
826	10475	2191
827	10494	2180
828	10516	2169
829	10527	2156
830	10541	2143
831	10550	2130
832	10560	2117
833	10571	2104
834	10583	2091
835	10594	2078
836	10606	2065
837	10615	2052
838	10626	2039
839	10637	2026
840	10649	2013
841	10660	2000
842	10672	1987
843	10682	1974
844	10691	1961
845	10702	1948
846	10712	1935
847	10722	1921
848	10733	1909
849	10744	1896
850	10754	1883
851	10765	1870
852	10775	1856
853	10784	1843
854	10794	1830
855	10804	1817
856	10813	1804
857	10823	1791
858	10833	1778
859	10843	1765
860	10853	1752
861	10863	1739
862	10873	1726
863	10882	1713
864	10892	1699
865	10902	1686
866	10912	1673
867	10921	1660
868	10956	1651
869	10995	1642
870	11009	1630
871	11018	1617
872	11028	1604
873	11038	1591
874	11048	1578
875	11058	1565
876	11069	1552
877	11081	1539
878	11093	1527
879	11104	1514
880	11113	1501
881	11123	1488
882	11133	1475
883	11142	1462
884	11152	1449
885	11162	1436
886	11171	1423
887	11182	1410
888	11192	1397
889	11202	1384
890	11211	1371
891	11222	1358
892	11232	1345
893	11241	1332
894	11252	1320
895	11261	1307
896	11272	1294
897	11281	1281
898	11291	1268
899	11301	1255
900	11311	1242
901	11321	1230
902	11331	1217
903	11341	1204
904	11351	1191
905	11361	1178
906	11372	1166
907	11382	1153
908	11403	1141
909	11421	1129
910	11442	1117
911	11463	1106
912	11480	1094
913	11499	1081
914	11517	1069
915	11536	1057
916	11548	1045
917	11558	1032
918	11569	1019
919	11580	1006
920	11590	994
921	11600	981
922	11614	968
923	11623	956
924	11633	943
925	11643	930
926	11654	917
927	11664	904
928	11673	892
929	11683	879
930	11693	866
931	11703	853
932	11713	841
933	11722	828
934	11733	815
935	11742	802
936	11752	790
937	11762	777
938	11772	764
939	11782	752
940	11791	739
941	11801	726
942	11811	713
943	11821	701
944	11830	688
945	11840	675
946	11849	663
947	11859	650
948	11868	637
949	11878	625
950	11888	612
951	11898	599
952	11909	587
953	11919	574
954	11929	562
955	11955	550
956	12005	539
957	12019	526
958	12029	514
959	12039	501
960	12049	488
961	12059	476
962	12068	463
963	12078	451
964	12084	438
965	12094	425
966	12104	413
967	12114	400
968	12126	387
969	12136	375
970	12146	362
971	12157	350
972	12166	337
973	12177	325
974	12187	312
975	12197	299
976	12206	287
977	12217	274
978	12227	262
979	12237	249
980	12248	237
981	12258	224
982	12268	212
983	12279	199
984	12289	187
985	12299	174
986	12308	162
987	12317	149
988	12334	137
989	12350	124
990	12365	112
991	12376	99
992	12385	87
993	12395	74
994	12411	62
995	12435	49
996	12455	37
997	12473	24
998	12491	12
999	12509	0
