iter	MAPE
491	0.3164610082
492	0.3152389177
493	0.3140183279
494	0.3127996333
495	0.3115755961
496	0.3103531976
497	0.309132253
498	0.3079101734
499	0.3066909876
500	0.3054698573
501	0.3042522999
502	0.3030332591
503	0.3018116873
504	0.3005916777
505	0.2993752406
506	0.2981605048
507	0.2969404518
508	0.2957186122
509	0.294505814
510	0.2932932035
511	0.2920813628
512	0.2908713488
513	0.2896619904
514	0.2884538103
515	0.2872451392
516	0.2860364896
517	0.2848221588
518	0.2836138143
519	0.2824078839
520	0.2812038914
521	0.2800025774
522	0.2787992995
523	0.2775919787
524	0.2763897555
525	0.2751877625
526	0.273988089
527	0.2727926357
528	0.2715914993
529	0.2703984905
530	0.2692065144
531	0.2680123854
532	0.2668155524
533	0.2656212141
534	0.2644326625
535	0.2632476722
536	0.2620589443
537	0.2608707561
538	0.259680806
539	0.2584957376
540	0.2573094559
541	0.2561227651
542	0.2549402735
543	0.2537519049
544	0.2525699213
545	0.2513905625
546	0.2502199167
547	0.2490521475
548	0.247890993
549	0.2467244199
550	0.2455626424
551	0.2444002367
552	0.2432386203
553	0.2420787527
554	0.2409170599
555	0.2397579402
556	0.238600145
557	0.237448625
558	0.2362986839
559	0.2351464507
560	0.234001943
561	0.2328569368
562	0.231714302
563	0.2305687547
564	0.2294287069
565	0.228283739
566	0.2271454975
567	0.22601073
568	0.22486899
569	0.2237288917
570	0.2225925394
571	0.2214602727
572	0.220330828
573	0.2192024471
574	0.2180782325
575	0.2169580337
576	0.2158353516
577	0.2147207449
578	0.2136098355
579	0.2125027509
580	0.2114067716
581	0.2103084868
582	0.2092125695
583	0.2081288936
584	0.2070484014
585	0.2059605139
586	0.2048754263
587	0.2037958527
588	0.2027188185
589	0.2016471049
590	0.2005745081
591	0.1994943455
592	0.1984265305
593	0.1973516811
594	0.1962876331
595	0.1952261298
596	0.194163469
597	0.1931070743
598	0.1920489004
599	0.1909975862
600	0.1899509133
601	0.1889057194
602	0.187856129
603	0.1868044921
604	0.1857565983
605	0.1847156056
606	0.1836707554
607	0.1826312889
608	0.1815913045
609	0.1805588292
610	0.1795281785
611	0.1784891155
612	0.1774612176
613	0.1764391578
614	0.1754133834
615	0.174394772
616	0.1733783743
617	0.1723682765
618	0.171357175
619	0.1703433323
620	0.1693427316
621	0.1683411572
622	0.1673369794
623	0.166338978
624	0.1653382752
625	0.1643402336
626	0.1633494224
627	0.1623586268
628	0.1613680046
629	0.1603814829
630	0.1593998335
631	0.1584187617
632	0.1574620648
633	0.156517755
634	0.1555842272
635	0.1546663111
636	0.1537587564
637	0.1528684461
638	0.1519866078
639	0.1511223607
640	0.1502653616
641	0.1494128709
642	0.1485701102
643	0.1477330805
644	0.1469063161
645	0.146087938
646	0.1452789445
647	0.1444815275
648	0.1436899166
649	0.1428986858
650	0.1421119452
651	0.1413305894
652	0.1405584491
653	0.1397844959
654	0.1390166088
655	0.1382534651
656	0.1374936654
657	0.1367395622
658	0.1359862465
659	0.1352380495
660	0.1344956129
661	0.1337507815
662	0.1330165143
663	0.1322833032
664	0.1315616456
665	0.1308433059
666	0.1301275474
667	0.12941897
668	0.128716026
669	0.1280159935
670	0.1273253421
671	0.1266404103
672	0.1259617711
673	0.1252882585
674	0.1246155027
675	0.1239542931
676	0.123298109
677	0.1226448109
678	0.1219984326
679	0.1213563539
680	0.1207157313
681	0.1200831864
682	0.1194547637
683	0.1188278146
684	0.1182116992
685	0.1176016262
686	0.1169951956
687	0.116394305
688	0.1158009963
689	0.1152127552
690	0.1146330835
691	0.1140598297
692	0.1134887107
693	0.1129251301
694	0.1123678284
695	0.1118188066
696	0.1112835193
697	0.1107485976
698	0.1102149821
699	0.1096878814
700	0.1091727972
701	0.1086614378
702	0.1081548054
703	0.1076549804
704	0.1071604647
705	0.1066693158
706	0.1061872256
707	0.1057102506
708	0.1052375626
709	0.10476780071710	0.1043059347711	0.103848016
712	0.1033904526
713	0.1029412721
714	0.1025008537
715	0.1020619814
716	0.1016366179
717	0.10121776777718	0.10080230567719	0.10039460327720	0.099992979872721	0.099602533722722	0.09922329723	723	0.098850724	0.724	0.09848725	0.1725	0.0981726	0.10726	0.097727	0.10727	0.097728	0.102728	0.09729	0.1016729	0.0730	0.10132730	0.731	0.100973731	0732	0.1006366732733	0.1003017747734	0.099978485873735	0.099664451073736	0.099351698073737	0.099050274673738	0.098751923073739	0.098456328573740	0.098165187874741	0.097880576741742	0.097604265742743	0.09733421074744	0.097065229374745	0.096806595674746	0.096555079674747	0.096305366174748	0.09606297677749	0.095822506187750	0.095589345687751	0.095359227127752	0.095134592627753	0.094915599175754	0.094695259575755	0.094480375075756	0.09426887757	757	0.09406230758	758	0.09385981759	759	0.09365758760	760	0.09345712761	761	0.09326771762	762	0.093076763	0.763	0.092888764	0.764	0.092707765	0.765	0.092527766	0.766	0.092354767	0.767	0.09218768	0.0768	0.09201769	0.0769	0.09185770	0.770	0.091692771	0.771	0.091531772	0.772	0.091384773	0.773	0.091243774	0.774	0.091099775	0.775	0.090957776	0.776	0.090826777	0.777	0.090698778	0.778	0.090563779	0.779	0.090437780	0.780	0.090319781	0.781	0.090195782	0.782	0.090084783	0.783	0.089969784	0.784	0.089860785	0.785	0.089754786	0.786	0.089654787	0.787	0.089552788	0.788	0.089453789	0.789	0.08936790	0.0790	0.0892791	0.09791	0.0891792	0.0792	0.08908793	0.0793	0.08899794	0.0794	0.08890795	0.0795	0.08882796	0.0796	0.08874797	0.0797	0.08866798	0.0798	0.08858799	0.0799	0.08851800	0.800	0.088437801	0.801	0.088360802	0.802	0.088290803	0.803	0.088220804	0.804	0.088156805	0.805	0.088093806	0.806	0.088033807	0.807	0.087969808	0.808	0.087912809	0.809	0.087849810	0.810	0.087792811	0.811	0.087737812	0.812	0.087679813	0.813	0.087633814	0.814	0.087583815	0.815	0.087537816	0.816	0.08749817	0.0817	0.08744818	0.0818	0.08739819	0.0819	0.0873820	0.0820	0.08731821	0.0821	0.08727822	0.0822	0.08723823	0.0823	0.08718824	0.0824	0.08715825	0.0825	0.08711826	0.0826	0.08707827	0.0827	0.08703828	0.0828	0.0870829	0.09829	0.0869830	0.09830	0.08831	0.0916831	0.08832	0.0916832	0.08833	0.0916833	0.08834	0.0915834	0.08835	0.0915835	0.08836	0.091836	0.086837	0.09837	0.0867838	0.0838	0.08671839	0.0839	0.0866840	0.09840	0.0866841	0.0841	0.08662842	0.0842	0.08660843	0.0843	0.08657844	0.0844	0.08654845	0.0845	0.08652846	0.0846	0.08650847	0.0847	0.08647848	0.0848	0.08644849	0.0849	0.08642850	0.0850	0.08639851	0.0851	0.08638852	0.0852	0.08636853	0.0853	0.08634854	0.0854	0.08632855	0.0855	0.08630856	0.0856	0.0862857	0.0857	0.08625858	0.0858	0.08624859	0.0859	0.08622860	0.0860	0.08620861	0.0861	0.08619862	0.0862	0.08617863	0.0863	0.08616864	0.0864	0.08614865	0.0865	0.08612866	0.0866	0.08611867	0.0867	0.0860868	0.09868	0.086869	0.090869	0.086870	0.090870	0.086871	0.090871	0.086872	0.090872	0.086873	0.090873	0.086874	0.090874	0.085875	0.090875	0.085876	0.090876	0.085877	0.090877	0.085878	0.090878	0.085879	0.090879	0.085880	0.090880	0.085881	0.090881	0.085882	0.090882	0.085883	0.090883	0.085884	0.090884	0.085885	0.090885	0.085886	0.09886	0.0858887	0.09887	0.0858888	0.0888	0.08580889	0.0889	0.08579890	0.0890	0.08577891	0.0891	0.08576892	0.0892	0.08575893	0.0893	0.08574894	0.0894	0.08573895	0.0895	0.0857896	0.09896	0.0857897	0.09897	0.0856898	0.09898	0.0856899	0.09899	0.08900	0.0902900	0.08901	0.0902901	0.08902	0.090902	0.08903	0.0901903	0.08904	0.0901904	0.08905	0.090905	0.085906	0.090906	0.085907	0.090907	0.085908	0.090908	0.085909	0.09909	0.0855910	0.09910	0.0855911	0.09911	0.0855912	0.0912	0.08554913	0.0913	0.08553914	0.0914	0.08552915	0.0915	0.08551916	0.0916	0.08551917	0.0917	0.08550918	0.0918	0.08549919	0.919	0.085494920	0920	0.0854910921	0921	0.0854864922	0922	0.0854812923	0923	0.0854751924	0924	0.0854625925	0925	0.0854578926	0926	0.0854522927	0927	0.0854409928	0928	0.0854349929	0929	0.0854268930	0930	0.0854186931	931	0.08541320932	932	0.08540423933	933	0.0853992934	0934	0.0853936935	935	0.08538115936	936	0.08537379937	937	0.08536608938	938	0.08535781939	939	0.08535101940	940	0.08534415941	941	0.08533912942942	0.085335418943943	0.085321135944944	0.085317558945945	0.085311216946946	0.08529684947	947	0.08528988948	948	0.08528414949949	0.085275210950950	0.085268847951951	0.085263241952952	0.085259081953953	0.085252925954954	0.08524278595955	0.085237619595956	0.085230619595957	0.085224199595958	0.085216289595959	0.085210495996960	0.085200396096961	0.085197296196962	0.085190896296963	0.08518963	09964	0.085177964	09965	0.085170965	09966	0.08516966	0.9967	0.08515967	0.9968	0.08515968	0.9969	0.0851969	0.0970	0.08513970	0971	0.0851327971	0972	0.0851258972	0973	0.085120973	0.974	0.085119974	0.975	0.085114975	0.976	0.085106976	0.977	0.085103977	0.978	0.085095978	0.979	0.085086979	0.980	0.085080980	0.981	0.085077981	0.982	0.085072982	0.983	0.085068983	0.984	0.08505984	0.0985	0.085985	0.081986	0.085986	0.081987	0.085987	0.081988	0.085988	0.08989	0.0850989	0.08990	0.0850990	0.08991	0.0850991	0.08992	0.0850992	0.08993	0.0850993	0.08994	0.0850994	0.08995	0.0850995	0.08996	0.0849996	0.0997	0.08499997	0.0998	0.08498998	0.0999	0.08498999	0.0811158881
