ID,Sales Rank,Date,Review Score,Review Count
0062304186,37932.0,"July 21, 2015",4.2,401
1883982421,2015220.0,"November 21, 2001",5.0,3
0328239755,821658.0,"April 7, 2006",3.91,14
0531252256,2457410.0,"September 1, 2009",0.0,0
0547059736,530410.0,"February 18, 2008",3.66,17
1933241438,63159.0,"July 15, 2007",4.03,47
0545746159,13044.0,"June 30, 2015",4.86,75
0778779645,3677878.0,"August 15, 2011",0.0,0
1624038352,5556282.0,"September 1, 2015",0.0,0
0545484383,7003.0,"February 1, 2013",4.88,133
1926973917,562829.0,"August 13, 2013",4.58,14
1429617632,701743.0,"January 1, 2008",4.38,8
0141351349,3117709.0,"September 30, 2014",5.0,1
0060574186,77629.0,"June 29, 2010",4.7,43
0142409006,236924.0,"April 19, 2007",4.8,15
0553513435,369526.0,"June 14, 2016",5.0,4
1860070051,6644489.0,"June 1, 2001",0.0,0
1426303300,1964739.0,"October 14, 2008",4.5,2
0064430995,141090.0,"May 23, 1986",4.37,40
0811831582,135811.0,"June 1, 2001",4.66,28
0060576154,911333.0,"December 27, 2005",4.67,9
0060099453,2332.0,"October 1, 2002",4.61,87
1937747565,95419.0,"August 15, 2014",4.94,17
1465417338,87088.0,"January 6, 2014",4.28,63
1419707760,551348.0,"November 5, 2013",4.74,45
0394854438,14025.0,"August 12, 1982",4.78,83
1448812364,4598274.0,"January 15, 2011",3.0,1
0375826432,701.0,"September 23, 2003",4.21,637
0756625823,1211167.0,"January 15, 2007",4.01,9
1426322518,24212.0,"July 14, 2015",4.43,14
0736433465,75110.0,"April 14, 2015",4.59,15
067982412X,8028.0,"February 16, 1993",4.7,173
0764950320,943578.0,"May 31, 2009",4.92,13
075001749X,12792501.0,"May 15, 1996",0.0,0
0935218084,61761.0,2002,4.6,55
1429656328,5881616.0,"August 1, 2010",1.0,1
037585696X,2023409.0,"September 28, 2010",5.0,2
0780766903,7688458.0,"August 1, 1997",1.0,1
1465424458,369681.0,"September 1, 2014",4.68,35
0615846467,108276.0,"August 27, 2013",4.88,26
0778742903,11858608.0,"March 15, 2009",0.0,0
0312493894,41494.0,"August 1, 2004",4.67,229
0689845022,104506.0,"October 1, 2004",4.72,18
1580001157,9265465.0,"November 3, 2004",0.0,0
0061137634,14958.0,"October 6, 2015",4.69,167
1491441720,2695488.0,"August 1, 2015",0.0,0
1433955563,4510386.0,"August 1, 2011",4.0,1
0310726352,640002.0,"July 28, 2012",4.53,26
1484706560,665989.0,"June 3, 2014",4.59,30
