ID,Sales Rank,Date,Review Score
1623540283,438439,"February 11, 2014",4.42
162832113X,1707376,"September 15, 2015",0
1452108110,182421,"January 25, 2012",5.0
0811863557,226091,"July 2, 2008",4.41
1595723609,269961,"June 29, 2012",4.4
0553507796,675547,"February 10, 2015",4.51
1442422661,668010,"May 6, 2014",4.64
1609052803,1239450,"July 10, 2012",5.0
1426315082,247804,"May 13, 2014",3.98
0811869741,71409,"July 1, 2009",4.79
0449814343,1145467,"July 23, 2013",4.68
0448487683,69556,"February 5, 2015",4.34
0807556009,165853,"March 1, 2016",4.94
192748393X,883463,"August 1, 2014",5.0
054773851X,892487,"January 8, 2013",4.73
1426313608,119384,"September 24, 2013",4.75
1452129177,702836,"March 3, 2015",4.25
1560370831,223491,"May 24, 2013",4.83
0811869997,152390,"July 1, 2009",4.46
0811856453,205916,"December 21, 2006",4.64
0811861090,846757,"December 20, 2007",4.45
0756690870,1125184,"January 30, 2012",4.67
1442412720,387978,"October 19, 2010",4.73
0764165119,123918,"February 1, 2012",4.57
0811861104,623159,"December 20, 2007",4.75
1452141835,472947,"October 13, 2015",5.0
048649814X,424188,"April 17, 2013",4.78
1935694065,156798,"August 1, 2012",4.01
0763655988,654,"September 27, 2011",4.41
0394873343,3922,"August 12, 1985",4.49
1589255518,431,"March 1, 2015",4.81
0307021408,4405,"August 7, 2012",4.65
0859536599,383063,"June 1, 1998",4.8
0394856406,1736,"September 12, 1983",4.8
1416958967,482,"October 7, 2008",4.78
0375858601,16778,"January 6, 2015",4.72
0805053883,1271,"September 15, 1997",4.64
0062223461,48799,"June 25, 2013",4.41
0312513461,1331,"November 8, 2011",4.18
0394829085,6119,"September 12, 1974",4.3
014050169X,4687,"September 30, 1976",4.81
1416902724,3238,"October 1, 2005",4.87
0394839102,9825,"September 12, 1978",4.88
0375842144,4249,"August 14, 2007",4.84
0694006513,6919,"January 6, 1995",4.86
0394848357,2708,"October 12, 1981",4.77
0316324906,6788,"October 20, 2015",4.83
038080560X,11112,April 2002,4.54
1608934543,528527,"October 1, 2015",4.9
0545166691,56754,"September 29, 2015",4.63
0064440044,10363,"February 18, 2003",4.7
0375826432,701,"September 23, 2003",4.21
1423135792,5139,"February 7, 2012",4.83
0439339111,15868,"March 1, 2005",4.77
0062312421,12171,"July 22, 2014",4.87
1442466634,25960,"March 10, 2015",4.75
0679808477,48607,"September 12, 1990",4.74
006228620X,23933,"December 2, 2014",4.76
